Product Name,Browser Title Text,Brands,Meta Keywords,Meta Description,Product Tags,Rewrite URL Slug,Full Description,Short Description,Product Code,Stock,Min Purchase Quantity,Max Purchase Quantity,Weight,Retail Price,Cost Price,Offer Price,Offer Expiry Date,Local/HTTP/FTP Path to File,Hits,YouTube Code,Vimeo Code,Daily Motion Code,Product Expiry,Date Added
 Harare - Eastern Highlands & Masvingo , Harare - Eastern Highlands & Masvingo ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Accommodation Room Nights ,Accommodation Room Nights ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Accommodation Room Nights ,Accommodation Room Nights ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Accomodation Room Nights ,Accomodation Room Nights ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
"Adrenaline High Wire -  Half Day - Zimbabwe (Flying Fox, Zip Line & Gorge Swing)","Adrenaline High Wire -  Half Day - Zimbabwe (Flying Fox, Zip Line & Gorge Swing)",,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Adventure Pass - Zimbabwe,Adventure Pass - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Bird Watching Zimbabwe(Half Day),Bird Watching Zimbabwe(Half Day),,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Bridge Activities (Zimbabwe),Bridge Activities (Zimbabwe),,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Bridge Tour ,Bridge Tour ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Bulawayo ,Bulawayo ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
